NewsId,CreateDate,Source,Source_Type,Stock,Topic,Link
A4AFF444-B5F6-4391-926A-81FD1A84072E,17:24.0,RYT9,Website,AIMIRT,AIMIRT ฉลองฤกษ์ดี หน่วยทรัสต์ออกใหม่เทรดวันแรก หลังควบรวม PPF สำเร็จ ขยายฐานหน่วยทรัสต์ใหญ่ขึ้น...,https://www.ryt9.com/s/prg/3523708
C0F8EF26-F7D7-4885-9989-820DFFF35FB4,42:56.0,ข่าวหุ้นธุรกิจ,Website,AIMIRT,AIMIRT ปิดดีลควบกองทุนอสังหา PPF หนุนมูลค่าทรัพย์สินแตะ 1.3 หมื่นล้าน,https://www.kaohoon.com/news/679159
39349038-4148-4B9A-8B0B-B9F713BBB7ED,50:59.0,RYT9,Website,AIRA,"AIRA ยกทัพให้ข้อมูลทางการเงินครบวงจร ในงาน ""mai Forum 2024""",https://www.ryt9.com/s/prg/3525132
D8112745-0713-4B2F-858B-5C1FAED01F81,03:25.0,Pantip Sinthorn,Webboard,ALL,ขาเคลมมะวานเย็นชักยุ่ง เคลมเต็มปอด all in กันหลายลอคอิน ตอนนี้ยุ่งล่ะ เปิดมาลบ ราคาร่วงเกินที่เก็บมา ขายตอนไหนทีนี้หุ้น,https://pantip.com/topic/42792363
6A33CD27-9428-46F8-B054-1F0EF44FAD23,03:44.0,RYT9,Website,ALL,MCA ส่งซิกผลงานโค้ง 2 ลุ้น ALL Time Hight,https://www.ryt9.com/s/prg/3524012
AE6658F6-CD4A-474C-B3FC-67125CA99F4A,11:29.0,RYT9,Website,ALL,COCOCO คาดไตรมาส 2 All time High,https://www.ryt9.com/s/prg/3524526
9A27FFFF-698D-47C2-8ADB-C1277CB9D185,12:25.0,Pantip Sinthorn,Webboard,ALL,Nvdaล่วงยับ140นี่all time doiรึป่าวหุ้น,https://pantip.com/topic/42797168
D74D8617-BEAF-40ED-92F9-2A011BC0F4E9,28:44.0,RYT9,Website,ALL,ทีทีบี ชวนสัมผัสประสบการณ์มหกรรมกีฬาระดับโลก ผ่านบัตรเดบิตวีซ่าลายพิเศษ ttb all free Olympic Games...,https://www.ryt9.com/s/prg/3525667
71533C1C-7278-48C5-A1DC-D37B8AEC2439,30:04.0,RYT9,Website,ALL,ภาวะตลาดหุ้นอินเดีย: ดัชนี Sensex ปิดบวก ทำ All Time High 4 วันติด,https://www.ryt9.com/s/iq18/3525358
E50D2FAA-0FD0-46F3-BD33-BC1A75F40E8B,55:08.0,RYT9,Website,ALL,MCA ลุ้น Q2/67 ทำ All Time High ปั้นธุรกิจใหม่มุ่งสู้เป้าใหญ่รายได้ปี 71 แตะ 1.4...,https://www.ryt9.com/s/iq05/3523189
